Cup	Number	SampleID	HeightAu	Pppm
15	3	1	14701.59375	0.605316639
16	4	6	7775.649414	0.33600077
17	5	7	4717.53125	0.2170856
18	6	8	3356.155029	0.164148375
19	7	9	7560.361328	0.327629268
20	8	10.1	11827.76465	0.493567586
21	9	10.2	9998.484375	0.42243588
22	10	16	10274.1582	0.433155447
23	11	18	5189.868652	0.235452473
24	12	23	12351.8457	0.513946474
25	13	25	12936.95117	0.536698401
26	14	27	7594.689941	0.328964144
27	15	31	10751.28223	0.451708466
28	16	32	3450.178223	0.16780448
29	17	37.1	11518.19336	0.481529891
30	18	37.2	4163.937012	0.195559055
31	19	42	14423.74023	0.594512284
32	20	51	5052.919922	0.230127215
33	21	55.1	30289.96875	1.211471796
34	22	55.2	79667.10156	3.131505489
35	23	58.1	39290.74609	1.561467767
36	24	58.2	75215.17188	2.958391666
37	25	58.3	61646.43359	2.430770397
38	26	59	26735.83789	1.073269248
39	27	60.1	51981.62891	2.054953814
40	28	60.2	75625.96875	2.97436595
41	29	61.1	12135.40039	0.50553
42	30	61.2	30014.84766	1.200773716
43	31	64	4682.019531	0.215704709
44	32	68	4797.950195	0.220212698
45	33	69.1	22121.57617	0.893843293
46	34	69.2	49777.34766	1.969240069
47	35	71.1	23602.87305	0.951443613
48	36	71.2	51273.93359	2.027435064
49	37	76.1	33827.32031	1.349022031
50	38	76.2	57304.44922	2.261932135
51	39	76.3	33132.28516	1.321995497
52	40	77.1	41258.94531	1.638001323
53	41	77.2	39572.17969	1.572411299
54	42	77.3	119362.2422	4.675054073
55	43	79	19556.60742	0.794104278
56	44	86.1	18011.10547	0.734007299
57	45	86.2	28299.91797	1.134088516
