"Cup"	"Number"	"SampleID"	"HeightAu"	"Pppm"	"myPppm"	"myPppmFix"
"1"	15	3	1	14701.59375	0.605316639	0.613453109896357	6.13453109896357
"2"	16	4	6	7775.649414	0.33600077	0.344480969132832	3.44480969132832
"3"	17	5	7	4717.53125	0.2170856	0.225717584766108	2.25717584766108
"4"	18	6	8	3356.155029	0.164148375	0.172847931361067	1.72847931361067
"5"	19	7	9	7560.361328	0.327629268	0.336120160185623	3.36120160185623
"6"	20	8	10.1	11827.76465	0.493567586	0.501846673616226	5.01846673616226
"7"	21	9	10.2	9998.484375	0.42243588	0.430805757352178	4.30805757352178
"8"	22	10	16	10274.1582	0.433155447	0.44151167343604	4.4151167343604
"9"	23	11	18	5189.868652	0.235452473	0.244061018674212	2.44061018674212
"10"	24	12	23	12351.8457	0.513946474	0.522199595198254	5.22199595198254
"11"	25	13	25	12936.95117	0.536698401	0.544922427378745	5.44922427378745
"12"	26	14	27	7594.689941	0.328964144	0.337453327199406	3.37453327199406
"13"	27	15	31	10751.28223	0.451708466	0.460040998179782	4.60040998179782
"14"	28	16	32	3450.178223	0.16780448	0.176499364081967	1.76499364081967
"15"	29	17	37.1	11518.19336	0.481529891	0.489824334343671	4.89824334343671
"16"	30	18	37.2	4163.937012	0.195559055	0.204218505350288	2.04218505350288
"17"	31	19	42	14423.74023	0.594512284	0.602662544383923	6.02662544383923
"18"	32	20	51	5052.919922	0.230127215	0.238742553596247	2.38742553596247
"19"	33	21	55.1	30289.96875	1.211471796	1.21883461332267	12.1883461332267
"20"	34	22	55.2	79667.10156	3.131505489	3.13641761317983	31.3641761317983
"21"	35	23	58.1	39290.74609	1.561467767	1.5683838202217	15.683838202217
"22"	36	24	58.2	75215.17188	2.958391666	2.96352493624419	29.6352493624419
"23"	37	25	58.3	61646.43359	2.430770397	2.43657692623042	24.3657692623042
"24"	38	26	59	26735.83789	1.073269248	1.08080835443419	10.8080835443419
"25"	39	27	60.1	51981.62891	2.054953814	2.06123992109037	20.6123992109037
"26"	40	28	60.2	75625.96875	2.97436595	2.97947841611386	29.7947841611386
"27"	41	29	61.1	12135.40039	0.50553	0.513793844940298	5.13793844940298
"28"	42	30	61.2	30014.84766	1.200773716	1.20815016294933	12.0815016294933
"29"	43	31	64	4682.019531	0.215704709	0.224338471302551	2.24338471302551
"30"	44	32	68	4797.950195	0.220212698	0.228840690402716	2.28840690402716
"31"	45	33	69.1	22121.57617	0.893843293	0.901611440242938	9.01611440242938
"32"	46	34	69.2	49777.34766	1.969240069	1.97563567452205	19.7563567452205
"33"	47	35	71.1	23602.87305	0.951443613	0.959138265985525	9.59138265985525
"34"	48	36	71.2	51273.93359	2.027435064	2.03375625734804	20.3375625734804
"35"	49	37	76.1	33827.32031	1.349022031	1.35620924060359	13.5620924060359
"36"	50	38	76.2	57304.44922	2.261932135	2.26795402449986	22.6795402449986
"37"	51	39	76.3	33132.28516	1.321995497	1.32921724021605	13.2921724021605
"38"	52	40	77.1	41258.94531	1.638001323	1.64481971574295	16.4481971574295
"39"	53	41	77.2	39572.17969	1.572411299	1.57931341973946	15.7931341973946
"40"	54	42	77.3	119362.2422	4.675054073	4.67799612404847	46.7799612404847
"41"	55	43	79	19556.60742	0.794104278	0.801999733563024	8.01999733563024
"42"	56	44	86.1	18011.10547	0.734007299	0.741979475259045	7.41979475259045
"43"	57	45	86.2	28299.91797	1.134088516	1.14155010271196	11.4155010271196
